Fecha,Precio Minimo Mes,Precio Maximo Mes
1995-07-31,0.4997916666666667,4.924333333333333
1995-08-31,0.8993333333333333,34.32783333333333
1995-09-30,1.7589583333333332,15.391666666666666
1995-10-31,1.0738333333333334,19.33333333333333
1995-11-30,6.698416666666667,103.5785
1995-12-31,13.216333333333331,136.37249999999997
1996-01-31,11.483624999999998,40.458333333333336
1996-02-29,2.751041666666666,18.891666666666666
1996-03-31,1.5287500000000005,7.956958333333333
1996-04-30,1.4130416666666668,4.927083333333333
1996-05-31,0.6908333333333333,3.6623333333333328
1996-06-30,0.935,3.986583333333333
1996-07-31,1.09775,2.8037916666666667
1996-08-31,1.3926666666666667,9.798833333333333
1996-09-30,1.6966666666666663,24.791666666666668
1996-10-31,1.3237083333333333,20.08333333333333
1996-11-30,1.324,42.22808333333333
1996-12-31,4.296083333333333,36.011583333333334
1997-01-31,15.35827,29.99502
1997-02-28,20.1033,33.90655
1997-03-31,15.527606666666664,39.94410666666667
1997-04-30,14.792228333333332,33.11510333333333
1997-05-31,21.248013333333333,45.73459666666667
1997-06-30,21.74683,46.67058
1997-07-31,20.792476666666666,51.27010166666667
1997-08-31,19.110746666666667,76.51074666666666
1997-09-30,61.584733333333325,231.3764
1997-10-31,68.54215333333333,185.94407
1997-11-30,70.987325,191.6955333333333
1997-12-31,85.47775,154.53370833333335
1998-01-31,113.60092000000002,171.93912833333331
1998-02-28,88.74605166666667,215.1945933333333
1998-03-31,76.54064333333334,105.21835166666666
1998-04-30,32.57066,84.43511833333334
1998-05-31,17.64716,31.97557666666667
1998-06-30,16.15140666666667,20.315573333333337
1998-07-31,14.065121666666665,21.69378833333333
1998-08-31,16.588776666666664,24.25711
1998-09-30,18.606816666666663,26.60744166666667
1998-10-31,21.10932,26.07098666666667
1998-11-30,20.189456666666665,31.52779
1998-12-31,20.032775,30.883233333333333
1999-01-31,20.324166666666667,29.932033333333333
1999-02-28,22.32136,28.39427666666667
1999-03-31,18.77386333333333,25.134946666666668
1999-04-30,19.963585000000005,28.910126666666667
1999-05-31,21.576285,30.24224333333333
1999-06-30,25.700420000000005,35.17158666666666
1999-07-31,26.04764,33.125056666666666
1999-08-31,28.993133333333333,35.41813333333334
1999-09-30,31.170380000000005,40.36788000000001
1999-10-31,30.07862,35.96745333333334
1999-11-30,30.181290000000004,33.11879
1999-12-31,29.176620000000003,39.99537
2000-01-31,32.284788,46.028538000000005
2000-02-29,33.799882,51.93529866666668
2000-03-31,30.228792,51.61083366666667
2000-04-30,29.84412133333333,56.742746333333336
2000-05-31,29.096099,48.634724000000006
2000-06-30,33.51075,47.54029166666667
2000-07-31,31.25208166666667,53.12999833333333
2000-08-31,31.298016333333333,65.61047466666666
2000-09-30,35.94536,74.21673499999999
2000-10-31,28.841424,69.85271566666667
2000-11-30,29.88011958333333,66.08087
2000-12-31,34.32114133333334,68.03376633333333
2001-01-31,48.852589,100.06092233333334
2001-02-28,61.68534733333333,106.11859733333334
2001-03-31,51.37082466666666,93.48894966666668
2001-04-30,54.53184033333334,81.11517366666668
2001-05-31,39.940792,67.693042
2001-06-30,36.79761133333333,49.176153000000006
2001-07-31,34.42751933333333,57.281686
2001-08-31,31.87354566666667,45.26104566666667
2001-09-30,37.45041033333333,58.898868666666665
2001-10-31,37.422355,55.00148
2001-11-30,31.064419666666662,49.192128
2001-12-31,29.523077333333333,44.117369
2002-01-31,29.59665133333333,54.701443000000005
2002-02-28,48.3363,88.54238333333335
2002-03-31,36.03240566666667,70.368489
2002-04-30,34.49689033333334,63.139015333333326
2002-05-31,32.083547,48.04413033333333
2002-06-30,31.77607466666667,38.68744966666667
2002-07-31,37.17578333333333,48.13778333333333
2002-08-31,43.11611166666668,48.737278333333336
2002-09-30,44.28213033333333,54.863505333333336
2002-10-31,51.14257033333333,66.00382033333332
2002-11-30,47.662320666666666,59.830779
2002-12-31,59.063991,68.601491
2003-01-31,60.20431766666667,75.75444266666666
2003-02-28,62.169188,77.08460466666666
2003-03-31,67.30311,86.00744333333334
2003-04-30,73.63734899999999,88.65776566666666
2003-05-31,51.766152000000005,80.69156866666667
2003-06-30,54.87353,74.05278
2003-07-31,64.131094,73.03817733333334
2003-08-31,52.71301,75.44217666666665
2003-09-30,50.793903,78.31102800000001
2003-10-31,51.265655333333335,62.382322
2003-11-30,57.80065966666666,73.64757633333333
2003-12-31,41.99812533333333,61.21854200000001
2004-01-31,46.183582666666666,66.93983266666667
2004-02-29,57.88429133333333,79.78641633333332
2004-03-31,66.44637300000001,81.35178966666666
2004-04-30,62.67217133333333,82.238838
2004-05-31,52.593606,92.88968933333337
2004-06-30,41.72505966666666,60.63630966666667
2004-07-31,45.839299,63.96013233333333
2004-08-31,49.43105966666666,60.951518
2004-09-30,49.01327,77.44910333333333
2004-10-31,67.52083166666667,77.46512333333332
2004-11-30,59.327458,75.993708
2004-12-31,63.118739000000005,80.893489
2005-01-31,69.633913,92.39432966666668
2005-02-28,62.642164,85.11537233333333
2005-03-31,56.344838333333335,76.84863
2005-04-30,58.44920266666666,75.17795266666666
2005-05-31,55.067740333333326,75.85524033333333
2005-06-30,40.057095,74.66751166666667
2005-07-31,59.899241,103.82319933333332
2005-08-31,71.97599233333334,102.117034
2005-09-30,70.87060866666666,97.686442
2005-10-31,58.55983166666667,105.068665
2005-11-30,38.52978366666667,72.02715866666666
2005-12-31,66.96355133333334,97.66267633333332
2006-01-31,59.764671333333325,87.89721300000001
2006-02-28,57.53825833333334,95.60175833333334
2006-03-31,45.197453,91.11078633333334
